,,,,,,
,,,,,,
,,,,,,
,,Jergas en Español ,Jergas en Inglés,Google Translate Ing - Esp,DeepL Ing - Esp,Bing Microsoft Translator
,,,,,,
,,"""Se me ha ido el santo al cielo""","""He forgot what he was about to say""","""Se olvidó de lo que estaba a punto de decir""","""Olvidó lo que ibas a decir""","""Se olvidó de lo que estaba a punto de decir"""
,,"""Ahogarse en un vaso de agua""","""To make a mountain out of a molehill""","""Hacer una montaña de un grano de arena""","""Hacer una montaña de un grano de arena""","""Hacer una montaña de un Molehill"""
,,"""Tirar los tejos""","""Throw a crumb""","""Tira una miga""","""Tira una miga""","""Tira una migaja"""
,,"""Mezclar churras con merinas""","""Mix apples and oranges""","""Mezclar manzanas y naranjas""","""Mezclar manzanas y naranjas""","""Mezclar manzanas y naranjas"""
,,"""Estar en Babia""","""Be woolgathering""","""Ser recolector de lana""","""Ser recolector de lana""","""Ser recolector de lana"""
,,"""Irse de picos pardos""","""Peaks and troughs""","""Picos y valles""","""Picos y valles""","""Picos y valles"""
,,"""Me importa un bledo""","""I don't care about""","""No me importa""","""No me importa""","""No me importa"""
,,"""Darse un garbeo""","""Hit a club""","""Golpear un club""","""Golpear un club""","""Golpear un club"""
,,"""Ser el alma de la fiesta""","""Be the life and soul of the party""","""Ser la vida y el alma de la fiesta""","""Ser la vida y el alma de la fiesta""","""Ser la vida y el alma de la fiesta"""
,,"""Pintar mal la cosa""","""Odds aren't good ""","""Las probabilidades no son buenas""","""Las probabilidades no son buenas""","""Las probabilidades no son buenas"""
,,"""Estar al tanto""","""Keep on top of it""","""Mantenerse al tanto""","""Mantenerse al tanto""","""Mantenerse al tanto"""
,,"""Estar montado en el dólar""","""Be rolling in money""","""Estar rodando en dinero""","""Estar rodando en dinero""","""Estar rodando en dinero"""
,,"""No me comas la oreja""","""Dont lick my ears""","""No me lamas la oreja""","""No me lamas la oreja""","""No me lamas la oreja"""
,,"""Dormir la mona""","""Sleep it off""","""Duérmelo""","""Dormir la mona""","""Duerme"""
,,"""Montar un pollo""","""The trouble is fact""","""El problema es un hecho""","""El problema es un hecho""","""El problema es un hecho"""
,,"""Decir verdades como templos""","""Say a cotton-picking mouthful""","""Decir un bocado de recolección de algodón""","""Di un bocado de algodón""","""Di un bocado de algodón"""
,,"""Darse con un canto en los dientes""","""Thank one's lucky stars""","""Gracias a las estrellas de la suerte""","""Gracias a las estrellas de la suerte""","""Gracias a las estrellas de la suerte"""
,,"""Se te ve el plumero""","""Be blindingly obvious""","""Sé ciegamente obvia""","""Sé ciegamente obvia""","""Sé ciegamente obvia"""
,,"""Hablar por los codos""","""Talk nineteen the down""","""Hable diecinueve abajo""","""Hable diecinueve abajo""","""Hable diecinueve abajo"""
,,"""Estar como una regadera""","""Be off his rocker""","""Estar fuera de su rockero""","""Estar fuera de sus cabales""","""Estar fuera de su rockero"""
,,"""Tener la mosca detrás de la oreja""","""Smell a rat""","""Huele a rata / Sospechar algo""","""Huele a rata""","""Huele a rata"""
,,"""Planchar la oreja""","""Hit the sack""","""Golpear el saco""","""Golpear el saco""","""Golpear el saco"""
,,"""Tela marinera""","""It's a hell of...""","""Es un infierno de""","""Es un infierno de""","""Es un infierno de"""
,,"""Armarse la de San Quintín""","""Kick up a row""","""Escandalizar""","""Patear una fila""","""Patear una fila"""
,,"""Comerse un marrón""","""Be stuck with""","""Estar atrapado con""","""Estar pegado a""","""Quédate atrapado"""
,,"""Cortarse la coleta""","""Withdraw from profession""","""Retirarse de la profesión""","""Retirarse de la profesión""","""Retirarse de la profesión"""
,,"""Buscarle tres pies al gato""","""Split hairs""","""Puntas abiertas/ Hilar fino/ Ser demasiado minucioso""","""Dividir los pelos""","""Pelos partidos"""
,,"""Arrimar el hombro""","""Lend a hand""","""Ayudar / Dar mano""","""Echar una mano""","""Echar una mano"""
,,"""Dar esquinazo""","""Part company""","""Parte de compañía/ Separarse de/ Despedirse""","""Parte de la compañía""","""Parte de la empresa"""
,,"""Duro de pelar""","""Be a hard nut to crack""","""Ser un hueso duro de roer""","""Ser un hueso duro de roer""","""Ser un hueso duro de roer"""
,,"""El hábito no hace al monje""","""Appearances are deceptive""","""Las apariencias engañan""","""Las apariencias engañan""","""Las apariencias engañan"""
,,"""Irse de rositas""","""Get off lightly""","""Bajar a la ligera""","""Bajar a la ligera""","""Bajar a la ligera"""
